property_type,bhk,area,locality,city,price_in_crore,new_resale,age_of_property,bathrooms,carpet_area,floor,balconies,furnishing_type,facing,amenities_score,furnishing_score,study_room,servant_room,pooja_room
Flat,2,1120.0,Asmangarh,Hyderabad,0.58,Resale,Old Property,2,993.55,4.0,1.0,Semi-Furnished,North,31,6,0,0,1
Flat,3,1905.0,Kokapet,Hyderabad,1.39,New,New Property,3,1689.92,9.0,1.0,Unfurnished,East,0,0,0,0,0
House,10,14400.0,Banjara Hills,Hyderabad,17.47,Resale,Moderately New Property,11,12774.19,2.0,1.0,Semi-Furnished,North,0,0,0,0,0
Flat,2,1323.0,Kollur,Hyderabad,0.45,New,New Property,2,1173.63,2.0,2.0,Semi-Furnished,East,32,6,0,0,0
Flat,3,1600.0,Ameenpur,Hyderabad,0.77,New,New Property,2,1419.35,1.0,2.0,Unfurnished,East,0,0,0,0,1
House,3,2000.0,Kollur,Hyderabad,1.3,New,New Property,3,1774.19,2.0,1.0,Unfurnished,East,31,6,0,0,1
House,4,1800.0,Maheshwaram,Hyderabad,2.2,Resale,Moderately New Property,4,1596.77,2.0,2.0,Furnished,East,51,35,0,1,0
Flat,3,1860.0,Narsingi,Hyderabad,2.5,Resale,New Property,3,1650.0,7.0,1.0,Unfurnished,East,63,0,0,0,0
House,8,6500.0,Yousufguda,Hyderabad,1.45,New,Old Property,8,5766.13,2.0,4.0,Unfurnished,West,5,19,0,1,0
Flat,3,1840.0,Tellapur,Hyderabad,1.8,New,New Property,3,1632.26,16.0,2.0,Unfurnished,West,44,0,0,0,0
Flat,3,1695.0,Suraram,Hyderabad,0.66,New,New Property,3,1503.63,5.0,1.0,Unfurnished,North,32,6,0,0,0
Flat,3,1500.0,Hayathnagar,Hyderabad,0.72,New,New Property,3,1330.65,4.0,1.0,Semi-Furnished,North,0,0,0,0,0
Flat,4,3955.0,Nanakramguda,Hyderabad,4.19,New,New Property,4,3508.47,8.0,1.0,Semi-Furnished,East,0,0,0,0,0
Flat,2,1290.0,Vanasthalipuram,Hyderabad,0.75,New,New Property,2,1144.35,1.0,1.0,Semi-Furnished,East,13,0,0,0,0
Flat,2,1165.0,Bolarum,Hyderabad,0.52,New,New Property,2,1033.47,3.0,1.0,Unfurnished,East,9,6,0,0,0
Flat,3,1600.0,Pragathi Nagar Kukatpally,Hyderabad,0.77,New,New Property,3,1419.35,1.0,2.0,Unfurnished,East,0,0,0,0,0
Flat,2,900.0,Padmarao Nagar,Hyderabad,0.46,Resale,Moderately New Property,2,798.39,0.0,1.0,Furnished,East,9,38,0,0,0
Flat,3,1650.0,Jubilee Hills,Hyderabad,0.94,Resale,Moderately New Property,3,1463.71,2.0,2.0,Semi-Furnished,East,0,0,0,0,0
House,4,3450.0,Narsingi,Hyderabad,4.15,New,New Property,4,3060.48,2.0,1.0,Semi-Furnished,East,0,0,0,0,0
Flat,3,1320.0,Serilingampally,Hyderabad,0.7,New,New Property,2,1170.97,7.0,2.0,Semi-Furnished,West,27,0,0,0,0
Flat,2,1150.0,Nallagandla Gachibowli,Hyderabad,0.81,New,New Property,2,1020.16,2.0,2.0,Semi-Furnished,West,13,0,0,0,0
Flat,3,1475.0,Narsingi,Hyderabad,1.03,New,New Property,2,1308.47,5.0,1.0,Unfurnished,West,32,0,0,0,0
Flat,3,1245.0,Manikonda,Hyderabad,0.87,New,New Property,2,1104.44,10.0,1.0,Unfurnished,East,0,6,0,0,1
House,4,3070.0,Gundlapochampally,Hyderabad,2.15,New,New Property,4,2723.39,2.0,1.0,Unfurnished,East,8,0,0,0,0
House,3,2406.0,Narsingi,Hyderabad,2.4,New,New Property,3,2134.35,2.0,1.0,Unfurnished,East,31,6,0,0,1
House,3,2200.0,Isnapur,Hyderabad,0.98,New,New Property,3,1951.61,2.0,2.0,Semi-Furnished,North,13,0,0,0,0
Flat,4,6999.0,Kokapet,Hyderabad,9.45,Resale,Moderately New Property,4,6208.79,4.0,1.0,Unfurnished,West,43,0,0,0,0
Flat,2,1350.0,Bachupally,Hyderabad,0.88,New,New Property,2,1197.58,2.0,1.0,Unfurnished,East,46,0,0,0,0
House,5,6000.0,Bowenpally,Hyderabad,5.0,New,New Property,5,5322.58,2.0,1.0,Unfurnished,East,31,6,0,0,1
House,10,7250.0,Malkajgiri,Hyderabad,3.3,Resale,Moderately New Property,1,6431.45,2.0,1.0,Semi-Furnished,NorthEast,4,0,0,0,0
Flat,3,1580.0,Padmarao Nagar,Hyderabad,1.75,New,New Property,2,1401.61,2.0,1.0,Unfurnished,North,46,0,1,1,1
Flat,3,1540.0,Ameenpur,Hyderabad,0.75,New,New Property,2,1366.13,2.0,1.0,Unfurnished,East,26,0,0,0,0
Flat,4,2915.0,Moosapet,Hyderabad,2.76,New,New Property,4,2585.89,4.0,1.0,Unfurnished,NorthEast,37,0,0,0,0
Flat,2,1150.0,Ameenpur,Hyderabad,0.54,New,New Property,2,1020.16,2.0,2.0,Unfurnished,West,34,0,0,0,0
Flat,2,1102.0,Patancheru,Hyderabad,0.5,New,New Property,2,977.58,3.0,1.0,Unfurnished,West,9,7,0,0,0
Flat,2,1100.0,Bundalguda,Hyderabad,0.69,Resale,Moderately New Property,2,975.81,2.0,1.0,Unfurnished,West,31,6,0,0,1
Flat,2,1100.0,Hitech City,Hyderabad,0.9,Resale,Moderately New Property,2,975.81,2.0,2.0,Unfurnished,West,31,6,0,0,1
Flat,2,900.0,Nizampet Road,Hyderabad,0.6,Resale,Moderately New Property,2,798.39,1.0,1.0,Unfurnished,West,31,6,0,0,1
Flat,2,1350.0,Manikonda,Hyderabad,0.98,Resale,Moderately New Property,1,1197.58,2.0,1.0,Unfurnished,SouthEast,40,0,0,0,0
House,6,6500.0,Nanakramguda,Hyderabad,13.0,Resale,Moderately New Property,5,5766.13,2.0,1.0,Furnished,East,0,0,0,0,0
Flat,2,1350.0,Kukatpally,Hyderabad,0.52,New,New Property,2,1197.58,2.0,1.0,Unfurnished,East,32,6,0,0,0
Flat,2,1000.0,Lallaguda,Hyderabad,0.59,Resale,Old Property,2,887.1,1.0,2.0,Unfurnished,West,27,6,0,0,1
Flat,3,2040.0,Kompally,Hyderabad,1.22,New,New Property,3,1809.68,1.0,1.0,Unfurnished,East,11,0,0,0,0
Flat,2,1325.0,Kondapur,Hyderabad,1.09,New,New Property,2,1175.4,7.0,2.0,Unfurnished,East,47,0,0,0,0
Flat,2,1390.0,Kondapur,Hyderabad,1.01,New,New Property,2,1233.06,3.0,1.0,Unfurnished,East,27,0,0,0,0
Flat,2,1250.0,Aminpur,Hyderabad,0.62,New,New Property,2,1108.87,2.0,1.0,Unfurnished,East,27,0,0,0,0
Flat,4,5300.0,Hitech City,Hyderabad,6.64,Resale,Moderately New Property,4,4701.61,2.0,1.0,Unfurnished,West,45,0,0,0,0
Flat,3,1390.0,Pragathi Nagar Kukatpally,Hyderabad,0.99,New,New Property,2,1233.06,1.0,1.0,Unfurnished,East,60,0,0,0,0
House,5,2682.0,Attapur,Hyderabad,3.88,New,New Property,4,2379.19,2.0,1.0,Furnished,East,44,0,0,0,0
Flat,4,2708.0,Kokapet,Hyderabad,3.2,Resale,Moderately New Property,4,2402.26,4.0,1.0,Unfurnished,East,41,0,0,0,0
House,3,2200.0,Ameenpur,Hyderabad,2.25,Resale,New Property,3,1951.61,2.0,3.0,Furnished,West,0,81,1,1,1
Flat,2,1175.0,Chandanagar,Hyderabad,0.62,New,New Property,2,1042.34,1.0,1.0,Unfurnished,East,0,0,0,0,0
Flat,2,1615.0,Kondapur,Hyderabad,1.37,New,New Property,2,1432.66,2.0,1.0,Unfurnished,East,33,0,0,0,0
House,3,1760.0,Patancheru,Hyderabad,0.65,New,New Property,3,1561.29,2.0,1.0,Unfurnished,East,31,6,0,0,1
Flat,4,3510.0,Puppalaguda,Hyderabad,3.86,New,New Property,3,3113.71,4.0,1.0,Unfurnished,East,27,0,0,0,0
House,4,3120.0,Bachupally,Hyderabad,4.5,Resale,New Property,4,2767.74,2.0,1.0,Unfurnished,East,31,6,0,0,1
Flat,2,700.0,Kalasiguda,Hyderabad,0.51,Resale,Old Property,2,620.97,2.0,1.0,Unfurnished,West,31,6,0,0,1
House,3,2772.0,Adibatla,Hyderabad,1.71,New,New Property,3,2459.03,2.0,1.0,Unfurnished,East,42,0,0,0,0
House,2,990.0,Peerzadiguda,Hyderabad,0.45,New,Moderately New Property,2,878.23,2.0,2.0,Unfurnished,East,0,0,1,0,0
House,2,1250.0,Ameenpur,Hyderabad,1.6,New,New Property,2,1108.87,2.0,1.0,Unfurnished,East,4,0,0,0,0
House,3,4200.0,Himayat Nagar,Hyderabad,6.0,Resale,Moderately New Property,3,3725.81,2.0,1.0,Semi-Furnished,North,0,0,0,0,0
Flat,2,1050.0,Kondapur,Hyderabad,0.8,New,New Property,2,931.45,2.0,1.0,Unfurnished,East,7,6,0,0,0
House,2,1250.0,Ameenpur,Hyderabad,1.6,New,New Property,2,1108.87,2.0,2.0,Unfurnished,East,10,0,0,0,0
Flat,2,1253.0,Tellapur,Hyderabad,1.25,Resale,New Property,2,1111.53,20.0,1.0,Unfurnished,East,21,0,0,0,0
Flat,4,3333.0,Kokapet,Hyderabad,3.33,Resale,Moderately New Property,5,2956.69,4.0,1.0,Semi-Furnished,NorthEast,44,0,0,0,0
Flat,2,1150.0,Ameenpur,Hyderabad,0.57,New,New Property,2,1020.16,2.0,2.0,Unfurnished,West,31,0,0,0,0
House,2,1200.0,Boduppal,Hyderabad,0.6,Resale,Moderately New Property,2,1064.52,2.0,1.0,Semi-Furnished,East,0,0,0,0,0
Flat,2,1170.0,Miyapur,Hyderabad,0.73,Resale,Moderately New Property,2,1037.9,3.0,1.0,Furnished,East,43,0,0,0,0
Flat,2,1040.0,Attapur,Hyderabad,0.85,Resale,New Property,2,922.58,2.0,2.0,Furnished,East,50,24,0,0,0
Flat,2,1125.0,Ameenpur,Hyderabad,0.52,New,New Property,2,997.98,2.0,1.0,Unfurnished,West,23,0,0,0,0
Flat,4,3705.0,Manchirevula,Hyderabad,2.5,New,New Property,4,3286.69,4.0,1.0,Unfurnished,East,42,0,0,0,0
Flat,2,1270.0,Velimela,Hyderabad,0.38,New,New Property,2,1126.61,3.0,1.0,Unfurnished,West,31,6,1,0,0
Flat,3,2190.0,Kondapur,Hyderabad,1.94,New,New Property,3,1942.74,5.0,2.0,Unfurnished,West,42,0,0,0,0
Flat,2,1050.0,Bachupally,Hyderabad,0.58,Resale,Moderately New Property,2,931.45,2.0,1.0,Furnished,East,0,0,0,0,0
Flat,3,2710.0,Kondapur,Hyderabad,2.84,New,New Property,3,2404.03,5.0,1.0,Unfurnished,East,47,0,0,0,0
Flat,3,1675.0,Tellapur,Hyderabad,1.02,New,New Property,3,1485.89,16.0,2.0,Unfurnished,East,55,0,0,0,0
House,3,1550.0,Shadnagar,Hyderabad,0.79,New,Moderately New Property,3,1375.0,2.0,2.0,Unfurnished,East,81,21,0,0,0
Flat,2,1150.0,Ameenpur,Hyderabad,0.57,New,New Property,2,1020.16,2.0,2.0,Unfurnished,West,30,0,0,0,0
Flat,4,4945.0,Tellapur,Hyderabad,3.65,New,New Property,4,4386.69,2.0,1.0,Unfurnished,East,74,0,0,0,0
Flat,2,1446.0,Kollur,Hyderabad,0.61,New,New Property,2,1282.74,2.0,1.0,Unfurnished,East,60,0,0,0,0
House,3,4000.0,Mokila,Hyderabad,3.6,Resale,Moderately New Property,3,3548.39,2.0,1.0,Semi-Furnished,West,0,0,0,0,0
