property_type,bhk,area,locality,city,price_in_crore,price_per_sqft,new_resale,age_of_property,bathrooms,carpet_area,floor,balconies,additional_rooms,furnishing_type,facing,amenities,furnish_details
Apartment,2,1120.0,Asmangarh,Hyderabad,0.58,5178.0,Resale,Old Property,2,993.55,4.0,1.0,pooja room,Semi-Furnished,North,"Landscaped Gardens, Lift(s), Swimming Pool, Gymnasium, Car Parking, 24 X 7 Security, Full Power Backup",Sofa
Apartment,3,1905.0,Kokapet,Hyderabad,1.39,7349.0,New,Unknown,3,1689.92,9.0,1.0,,Unfurnished,East,,
Independent House,10,14400.0,Banjara Hills,Hyderabad,17.47,12131.0,Resale,Unknown,11,12774.19,2.0,1.0,,Semi-Furnished,North,,
Apartment,2,1323.0,Kollur,Hyderabad,0.45,3401.0,New,Unknown,2,1173.63,2.0,2.0,,Semi-Furnished,East,"Gymnasium, Lift(s), Intercom, Sports Facility, Swimming Pool, Full Power Backup, Club House, Childrens play area",Gas connection
Apartment,3,1600.0,Ameenpur,Hyderabad,0.77,4799.0,New,Unknown,2,1419.35,1.0,2.0,pooja room,Unfurnished,East,,
Villa,3,2000.0,Kollur,Hyderabad,1.3,6500.0,New,Unknown,3,1774.19,2.0,1.0,pooja room,Unfurnished,East,"Landscaped Gardens, Lift(s), Swimming Pool, Gymnasium, Car Parking, 24 X 7 Security, Full Power Backup",Sofa
Villa,4,1800.0,Maheshwaram,Hyderabad,2.2,12222.0,Resale,Moderately New Property,4,1596.77,2.0,2.0,servant room,Furnished,East,"Sports Facility, School, Indoor Games, 24 X 7 Security, Shopping Mall, Cafeteria, Jogging Track, Childrens play area, Full Power Backup, Swimming Pool, Gymnasium, Club House","BED, Dining Table, Sofa, TV, Wardrobe"
Apartment,3,1860.0,Narsingi,Hyderabad,2.5,13440.0,Resale,New Property,3,1650.0,7.0,1.0,,Unfurnished,East,"ATM, Lift(s), Indoor Games, Full Power Backup, Jogging Track, Childrens play area, Maintenance Staff, Club House, Intercom, Swimming Pool, Multipurpose Room, Rain Water Harvesting, Cafeteria, Car Parking, Gymnasium, Vaastu Compliant, 24 X 7 Security",
Independent House,8,6500.0,Yousufguda,Hyderabad,1.45,2230.0,New,Old Property,8,5766.13,2.0,4.0,servant room,Unfurnished,West,24 X 7 Security,"BED, Wifi"
Apartment,3,1840.0,Tellapur,Hyderabad,1.8,9782.0,New,Unknown,3,1632.26,16.0,2.0,,Unfurnished,West,"Gymnasium, Lift(s), Swimming Pool, Full Power Backup, Rain Water Harvesting, Intercom, Sports Facility, 24 X 7 Security, Car Parking, Club House, Childrens play area",
