property_type,bhk,area,society_name,locality,city,price_in_crore,price_per_sqft,status,new_resale,price_negotiable,age_of_property,bathrooms,carpet_area,floor,booking_amount,balconies,additional_rooms,security_deposit,furnishing_type,facing,overlooking,ownership_type,amenities,furnish_details
Apartment,2,1120.0,,Asmangarh,Hyderabad,0.58,5178.0,Ready to move,Resale,Yes,Old Property,2.0,993.55,4.0,500000.0,1.0,pooja room,No Deposit,Semi-Furnished,North,Road View,Freehold,"Landscaped Gardens, Lift(s), Swimming Pool, Gymnasium, Car Parking, 24 X 7 Security, Full Power Backup",Sofa
Apartment,3,1905.0,Asbl Asbl Spire,Kokapet,Hyderabad,1.39,7349.0,Under Construction,New,Yes,Unknown,3.0,1689.92,9.0,,,,No Deposit,Unfurnished,,,Freehold,,
Independent House,10,14400.0,,Banjara Hills,Hyderabad,17.47,12131.0,Ready to move,Resale,No,Unknown,11.0,12774.19,,,,,No Deposit,Semi-Furnished,North,,,,
Apartment,2,1323.0,,Kollur,Hyderabad,0.45,3401.0,Under Construction,New,No,Unknown,2.0,1173.63,,,,,No Deposit,Semi-Furnished,East,,,"Gymnasium, Lift(s), Intercom, Sports Facility, Swimming Pool, Full Power Backup, Club House, Childrens play area",Gas connection
Apartment,3,1600.0,,Ameenpur,Hyderabad,0.77,4799.0,Under Construction,New,Yes,Unknown,2.0,1419.35,1.0,400000.0,2.0,pooja room,No Deposit,Unfurnished,East,Road View,,,
Villa,3,2000.0,,Kollur,Hyderabad,1.3,6500.0,Under Construction,New,Yes,Unknown,3.0,1774.19,,1000000.0,1.0,pooja room,No Deposit,Unfurnished,East,Garden View,Freehold,"Landscaped Gardens, Lift(s), Swimming Pool, Gymnasium, Car Parking, 24 X 7 Security, Full Power Backup",Sofa
Villa,4,1800.0,Prajay Virgin County Villas,Maheshwaram,Hyderabad,2.2,12222.0,Ready to move,Resale,Yes,Moderately New Property,4.0,1596.77,,,2.0,servant room,No Deposit,Furnished,East,Road View,Freehold,"Sports Facility, School, Indoor Games, 24 X 7 Security, Shopping Mall, Cafeteria, Jogging Track, Childrens play area, Full Power Backup, Swimming Pool, Gymnasium, Club House","BED, Dining Table, Sofa, TV, Wardrobe"
Apartment,3,1860.0,Jayabheri The Summit,Narsingi,Hyderabad,2.5,13440.0,Ready to move,Resale,No,New Property,3.0,1650.0,7.0,500000.0,,,No Deposit,Unfurnished,East,,,"ATM, Lift(s), Indoor Games, Full Power Backup, Jogging Track, Childrens play area, Maintenance Staff, Club House, Intercom, Swimming Pool, Multipurpose Room, Rain Water Harvesting, Cafeteria, Car Parking, Gymnasium, Vaastu Compliant, 24 X 7 Security",
Independent House,8,6500.0,,Yousufguda,Hyderabad,1.45,2230.0,Ready to move,New,Yes,Old Property,8.0,5766.13,,500000.0,4.0,servant room,No Deposit,Unfurnished,West,,,24 X 7 Security,"BED, Wifi"
Apartment,3,1840.0,My Home Tridasa,Tellapur,Hyderabad,1.8,9782.0,Ready to move,New,No,Unknown,3.0,1632.26,,,,,No Deposit,Unfurnished,West,,,"Gymnasium, Lift(s), Swimming Pool, Full Power Backup, Rain Water Harvesting, Intercom, Sports Facility, 24 X 7 Security, Car Parking, Club House, Childrens play area",
Apartment,3,1695.0,,Suraram,Hyderabad,0.66,3899.0,Under Construction,New,No,Unknown,3.0,1503.63,,,,,No Deposit,Unfurnished,North,,,"Gymnasium, Lift(s), Intercom, Sports Facility, Swimming Pool, Full Power Backup, Club House, Childrens play area",Gas connection
Apartment,3,1500.0,,Hayathnagar,Hyderabad,0.72,4800.0,Under Construction,New,Yes,Unknown,3.0,1330.65,4.0,100000.0,1.0,,No Deposit,Semi-Furnished,North,,Freehold,,
Apartment,4,3955.0,,Nanakramguda,Hyderabad,4.19,10594.0,Ready to move,New,No,Unknown,4.0,3508.47,,,,,No Deposit,Semi-Furnished,East,,,,
Apartment,2,1290.0,,Vanasthalipuram,Hyderabad,0.75,5800.0,Ready to move,New,No,Unknown,2.0,1144.35,,,,,No Deposit,Semi-Furnished,East,,,"Gymnasium, Full Power Backup, Lift(s)",
Apartment,2,1165.0,,Bolarum,Hyderabad,0.52,4497.0,Ready to move,New,No,Unknown,2.0,1033.47,,,,,No Deposit,Unfurnished,East,,,"Full Power Backup, Lift(s)",Gas connection
Apartment,3,1600.0,,Pragathi Nagar Kukatpally,Hyderabad,0.77,4812.0,Under Construction,New,No,Unknown,3.0,1419.35,,,,,No Deposit,Unfurnished,East,,,,
Apartment,2,900.0,,Padmarao Nagar,Hyderabad,0.46,5111.0,Ready to move,Resale,No,Unknown,2.0,798.39,,,,,No Deposit,Furnished,East,,,"Full Power Backup, Lift(s)","BED, Gas connection, Sofa, Refrigerator, AC"
Apartment,3,1650.0,,Jubilee Hills,Hyderabad,0.94,5696.0,Ready to move,Resale,No,Unknown,3.0,1463.71,,,,,No Deposit,Semi-Furnished,,,,,
Independent House,4,3450.0,,Narsingi,Hyderabad,4.15,12028.0,Ready to move,New,No,Unknown,4.0,3060.48,,,,,No Deposit,Semi-Furnished,,,,,
Apartment,3,1320.0,,Serilingampally,Hyderabad,0.7,5303.0,Ready to move,New,No,Unknown,2.0,1170.97,,,,,No Deposit,Semi-Furnished,West,,,"Gymnasium, Lift(s), Intercom, Sports Facility, Full Power Backup, Club House, Childrens play area",
Apartment,2,1150.0,Orange Elite,Nallagandla Gachibowli,Hyderabad,0.81,7001.0,Under Construction,New,No,Unknown,2.0,1020.16,,,,,No Deposit,Semi-Furnished,West,,,"Gymnasium, Full Power Backup, Lift(s)",
Apartment,3,1475.0,,Narsingi,Hyderabad,1.03,6999.0,Under Construction,New,No,Unknown,2.0,1308.47,,,,,No Deposit,Unfurnished,West,,,"Gymnasium, Lift(s), Intercom, Sports Facility, Swimming Pool, Full Power Backup, Club House, Childrens play area",
Apartment,3,1245.0,,Manikonda,Hyderabad,0.87,6990.0,Under Construction,New,Yes,Unknown,2.0,1104.44,10.0,500000.0,1.0,pooja room,No Deposit,Unfurnished,East,"Corner, Garden View, Pool View, Road View",Freehold,,Gas connection
Villa,4,3070.0,Bensup The Sanctuary,Gundlapochampally,Hyderabad,2.15,7019.0,Under Construction,New,No,Unknown,,2723.39,,,,,No Deposit,Unfurnished,,,,"Club House, Childrens play area",
Villa,3,2406.0,,Narsingi,Hyderabad,2.4,9975.0,Under Construction,New,Yes,Unknown,3.0,2134.35,,1000000.0,1.0,pooja room,No Deposit,Unfurnished,East,Garden View,Freehold,"Landscaped Gardens, Lift(s), Swimming Pool, Gymnasium, Car Parking, 24 X 7 Security, Full Power Backup",Sofa
Independent House,3,2200.0,,Isnapur,Hyderabad,0.98,4454.0,Under Construction,New,No,Unknown,3.0,1951.61,,,,,No Deposit,Semi-Furnished,North,,,"Gymnasium, Childrens play area, Full Power Backup",
Apartment,4,6999.0,Sas Crown,Kokapet,Hyderabad,9.45,13514.0,Under Construction,Resale,No,Unknown,4.0,6208.79,,,,,No Deposit,Unfurnished,West,,,"Gymnasium, Lift(s), Swimming Pool, 24 X 7 Security, Intercom, Indoor Games, Sports Facility, Childrens play area, Full Power Backup, Club House, Vaastu Compliant",
Apartment,2,1350.0,Makuta Projects My Space 2,Bachupally,Hyderabad,0.88,6500.0,Under Construction,New,No,Unknown,2.0,1197.58,,,,,No Deposit,Unfurnished,,,,"ATM, Lift(s), Indoor Games, 24 X 7 Security, Rain Water Harvesting, Cafeteria, Maintenance Staff, Gymnasium, Childrens play area, Full Power Backup, Swimming Pool, Club House",
Villa,5,6000.0,,Bowenpally,Hyderabad,5.0,8333.0,Ready to move,New,Yes,New Property,5.0,5322.58,,1000000.0,1.0,pooja room,No Deposit,Unfurnished,East,Garden View,Freehold,"Landscaped Gardens, Lift(s), Swimming Pool, Gymnasium, Car Parking, 24 X 7 Security, Full Power Backup",Sofa
Independent House,10,7250.0,,Malkajgiri,Hyderabad,3.3,4551.0,Ready to move,Resale,No,Unknown,1.0,6431.45,,,,,No Deposit,Semi-Furnished,NorthEast,,,Lift(s),
